time,DeviceName,AccX(g),AccY(g),AccZ(g),AsX(°/s),AsY(°/s),AsZ(°/s),AngleX(°),AngleY(°),AngleZ(°),HX(uT),HY(uT),HZ(uT),Q0(),Q1(),Q2(),Q3(),Temperature(°C),Version(),Battery level(%)
2024-9-19 20:39:15:60,WTSensor3(8E7876082DDC),-0.818,0.132,-0.499,-0.732,0,0.305,-8.43,59.73,-54.12,9.1,-40.95,44.133,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:60,WTSensor3(8E7876082DDC),-0.814,0.127,-0.498,-1.221,-0.488,0.427,-8.45,59.73,-54.14,9.1,-40.95,44.133,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:60,WTSensor3(8E7876082DDC),-0.818,0.131,-0.505,-1.404,-0.061,1.282,-8.49,59.73,-54.16,9.1,-40.95,44.133,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:60,WTSensor3(8E7876082DDC),-0.83,0.133,-0.508,-0.916,1.343,2.319,-8.53,59.71,-54.2,9.292,-41.342,44.333,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:91,WTSensor3(8E7876082DDC),-0.84,0.134,-0.511,-1.099,1.587,3.174,-8.58,59.69,-54.25,9.292,-41.342,44.333,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:91,WTSensor3(8E7876082DDC),-0.844,0.131,-0.507,-1.404,1.77,3.601,-8.65,59.66,-54.31,9.292,-41.342,44.333,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:91,WTSensor3(8E7876082DDC),-0.847,0.125,-0.51,-1.587,2.197,3.479,-8.71,59.63,-54.36,9.292,-41.342,44.333,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:91,WTSensor3(8E7876082DDC),-0.853,0.125,-0.514,-1.587,2.991,2.563,-8.75,59.6,-54.4,9.292,-41.342,44.333,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:151,WTSensor3(8E7876082DDC),-0.846,0.128,-0.512,-2.014,3.052,1.404,-8.78,59.56,-54.41,9.292,-41.342,44.333,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:151,WTSensor3(8E7876082DDC),-0.836,0.13,-0.507,-2.502,2.38,0,-8.8,59.54,-54.4,9.292,-41.342,44.333,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:151,WTSensor3(8E7876082DDC),-0.828,0.133,-0.513,-3.418,2.258,-1.221,-8.81,59.52,-54.37,9.292,-41.342,44.333,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:151,WTSensor3(8E7876082DDC),-0.821,0.143,-0.51,-3.967,3.601,-2.075,-8.79,59.49,-54.31,9.292,-41.342,44.333,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:187,WTSensor3(8E7876082DDC),-0.818,0.146,-0.509,-4.395,4.883,-2.075,-8.79,59.45,-54.24,9.292,-41.342,44.333,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:187,WTSensor3(8E7876082DDC),-0.812,0.157,-0.515,-4.639,5.371,-1.465,-8.79,59.4,-54.2,9.292,-41.342,44.333,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:187,WTSensor3(8E7876082DDC),-0.803,0.15,-0.518,-4.578,7.751,-0.916,-8.79,59.33,-54.15,9.292,-41.342,44.333,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:187,WTSensor3(8E7876082DDC),-0.793,0.136,-0.52,-4.395,10.498,0.427,-8.8,59.23,-54.11,9.292,-41.342,44.333,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:210,WTSensor3(8E7876082DDC),-0.79,0.148,-0.509,-2.93,13.428,1.648,-8.81,59.1,-54.08,9.292,-41.342,44.333,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:210,WTSensor3(8E7876082DDC),-0.795,0.131,-0.509,-1.77,13.306,2.075,-8.83,58.97,-54.07,9.292,-41.342,44.333,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:210,WTSensor3(8E7876082DDC),-0.799,0.111,-0.511,-2.563,12.573,2.441,-8.84,58.85,-54.07,9.292,-41.342,44.333,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:210,WTSensor3(8E7876082DDC),-0.798,0.135,-0.526,-1.77,10.559,3.296,-8.84,58.73,-54.05,9.292,-41.342,44.333,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:269,WTSensor3(8E7876082DDC),-0.82,0.146,-0.535,-1.221,10.803,2.869,-8.84,58.61,-54.03,9.292,-41.342,44.333,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:269,WTSensor3(8E7876082DDC),-0.828,0.094,-0.553,-5.31,7.568,0.671,-8.84,58.52,-53.98,9.292,-41.342,44.333,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:269,WTSensor3(8E7876082DDC),-0.849,0.143,-0.556,-2.563,6.775,0.061,-8.82,58.45,-53.94,9.292,-41.342,44.333,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:269,WTSensor3(8E7876082DDC),-0.842,0.167,-0.572,-3.418,9.521,0.183,-8.81,58.36,-53.89,9.292,-41.342,44.333,-0.12888,0.79599,-0.34006,-0.48376,30.4,10080.1.13,100
2024-9-19 20:39:15:301,WTSensor3(8E7876082DDC),-0.815,0.196,-0.566,-2.38,13.184,-0.488,-8.77,58.24,-53.82,9.292,-41.342,44.333,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:301,WTSensor3(8E7876082DDC),-0.796,0.253,-0.536,-2.808,17.7,-1.709,-8.72,58.07,-53.73,9.292,-41.342,44.333,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:302,WTSensor3(8E7876082DDC),-0.789,0.292,-0.527,-3.54,19.348,-0.427,-8.67,57.89,-53.62,9.292,-41.342,44.333,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:302,WTSensor3(8E7876082DDC),-0.768,0.302,-0.529,-4.578,23.376,-0.977,-8.61,57.67,-53.5,9.292,-41.342,44.333,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:330,WTSensor3(8E7876082DDC),-0.79,0.302,-0.52,-5.31,29.541,-2.808,-8.51,57.39,-53.32,9.292,-41.342,44.333,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:330,WTSensor3(8E7876082DDC),-0.815,0.335,-0.54,-4.883,28.442,-0.793,-8.44,57.11,-53.17,9.292,-41.342,44.333,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:330,WTSensor3(8E7876082DDC),-0.806,0.354,-0.554,-10.132,20.569,1.465,-8.48,56.9,-53.1,9.292,-41.342,44.333,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:330,WTSensor3(8E7876082DDC),-0.784,0.312,-0.564,-14.648,15.015,0.732,-8.59,56.76,-53.05,9.292,-41.342,44.333,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:389,WTSensor3(8E7876082DDC),-0.762,0.258,-0.595,-18.86,12.817,-3.296,-8.69,56.64,-52.94,9.292,-41.342,44.333,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:389,WTSensor3(8E7876082DDC),-0.73,0.151,-0.64,-24.963,14.587,-3.418,-8.79,56.51,-52.79,9.292,-41.342,44.333,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:389,WTSensor3(8E7876082DDC),-0.776,0.121,-0.632,-18.127,22.4,-4.822,-8.84,56.33,-52.61,9.292,-41.342,44.333,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:389,WTSensor3(8E7876082DDC),-0.771,0.083,-0.637,-21.362,23.438,-4.15,-8.9,56.13,-52.46,9.292,-41.342,44.333,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:420,WTSensor3(8E7876082DDC),-0.746,0.002,-0.588,-21.729,14.954,-2.686,-9.03,55.99,-52.36,9.292,-41.342,44.333,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:420,WTSensor3(8E7876082DDC),-0.761,-0.011,-0.554,-14.587,12.085,-5.127,-9.06,55.88,-52.21,9.292,-41.342,44.333,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:420,WTSensor3(8E7876082DDC),-0.766,-0.072,-0.542,-9.094,5.31,-1.526,-9.12,55.83,-52.16,9.292,-41.342,44.333,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:420,WTSensor3(8E7876082DDC),-0.787,0.015,-0.535,-0.793,-1.709,1.16,-9.16,55.84,-52.19,9.292,-41.342,44.333,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:452,WTSensor3(8E7876082DDC),-0.782,-0.09,-0.521,4.272,-8.179,5.554,-9.22,55.91,-52.32,9.292,-41.342,44.333,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:452,WTSensor3(8E7876082DDC),-0.793,-0.091,-0.493,6.531,-15.503,9.888,-9.35,56.04,-52.56,9.292,-41.342,44.333,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:452,WTSensor3(8E7876082DDC),-0.787,-0.055,-0.516,2.869,-16.724,9.766,-9.5,56.18,-52.79,9.292,-41.342,44.333,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:452,WTSensor3(8E7876082DDC),-0.796,-0.169,-0.542,11.23,-18.188,7.202,-9.56,56.32,-52.99,9.292,-41.342,44.333,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:510,WTSensor3(8E7876082DDC),-0.8,-0.055,-0.619,-2.136,-14.526,2.502,-9.62,56.44,-53.08,9.292,-41.342,44.333,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:510,WTSensor3(8E7876082DDC),-0.86,-0.013,-0.63,-3.235,2.502,-0.549,-9.64,56.43,-53.06,6.3,-42.625,44.217,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:510,WTSensor3(8E7876082DDC),-0.898,0.136,-0.698,-15.442,8.179,-1.221,-9.71,56.34,-52.98,6.3,-42.625,44.217,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:510,WTSensor3(8E7876082DDC),-0.848,0.194,-0.715,-18.005,13.306,1.892,-9.82,56.18,-52.89,6.3,-42.625,44.217,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:540,WTSensor3(8E7876082DDC),-0.839,0.374,-0.542,-12.39,29.236,-2.808,-9.79,55.93,-52.72,6.3,-42.625,44.217,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:540,WTSensor3(8E7876082DDC),-0.788,0.487,-0.471,-10.986,31.555,-0.549,-9.78,55.63,-52.6,6.3,-42.625,44.217,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:540,WTSensor3(8E7876082DDC),-0.716,0.494,-0.438,-8.179,23.804,-0.916,-9.76,55.4,-52.46,6.3,-42.625,44.217,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:540,WTSensor3(8E7876082DDC),-0.751,0.529,-0.434,-7.996,20.874,-1.77,-9.74,55.2,-52.33,6.3,-42.625,44.217,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:569,WTSensor3(8E7876082DDC),-0.751,0.646,-0.425,-13.733,17.578,3.052,-9.86,55.02,-52.31,6.3,-42.625,44.217,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:569,WTSensor3(8E7876082DDC),-0.789,0.571,-0.441,-22.766,15.381,4.639,-10.1,54.87,-52.32,6.3,-42.625,44.217,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:569,WTSensor3(8E7876082DDC),-0.781,0.556,-0.483,-33.691,14.526,2.319,-10.42,54.71,-52.28,6.3,-42.625,44.217,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:570,WTSensor3(8E7876082DDC),-0.77,0.486,-0.522,-47.668,27.039,-14.038,-10.7,54.5,-52.03,6.3,-42.625,44.217,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:632,WTSensor3(8E7876082DDC),-0.799,0.392,-0.542,-47.852,31.799,-21.851,-10.81,54.25,-51.56,6.3,-42.625,44.217,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:632,WTSensor3(8E7876082DDC),-0.783,0.299,-0.538,-52.429,17.578,-13.855,-11.1,54.11,-51.24,6.3,-42.625,44.217,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:632,WTSensor3(8E7876082DDC),-0.865,0.164,-0.654,-57.251,4.15,-11.78,-11.43,54.07,-50.96,6.3,-42.625,44.217,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:632,WTSensor3(8E7876082DDC),-0.756,0.083,-0.53,-42.908,3.052,-1.343,-11.79,54.04,-50.87,6.3,-42.625,44.217,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:662,WTSensor3(8E7876082DDC),-0.768,0.079,-0.695,-44.434,-1.587,-3.967,-12.22,54.07,-50.82,6.3,-42.625,44.217,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:662,WTSensor3(8E7876082DDC),-0.715,-0.05,-0.672,-52.917,-5.981,-2.136,-12.68,54.11,-50.82,6.3,-42.625,44.217,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:662,WTSensor3(8E7876082DDC),-0.705,-0.118,-0.65,-34.729,-4.761,2.197,-13.08,54.16,-50.88,6.3,-42.625,44.217,-0.11844,0.80237,-0.33939,-0.47632,30.4,10080.1.13,100
2024-9-19 20:39:15:662,WTSensor3(8E7876082DDC),-0.756,-0.031,-0.694,-17.822,-2.991,7.263,-13.39,54.17,-51.02,6.3,-42.625,44.217,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:692,WTSensor3(8E7876082DDC),-0.755,-0.177,-0.624,-6.348,-10.925,17.578,-13.71,54.21,-51.32,6.3,-42.625,44.217,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:692,WTSensor3(8E7876082DDC),-0.731,-0.123,-0.627,-0.244,-15.076,20.264,-14.02,54.28,-51.7,6.3,-42.625,44.217,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:692,WTSensor3(8E7876082DDC),-0.762,-0.157,-0.583,9.399,-20.203,13.733,-14.22,54.43,-52.05,6.3,-42.625,44.217,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:692,WTSensor3(8E7876082DDC),-0.813,-0.171,-0.59,9.521,-30.212,12.207,-14.43,54.67,-52.42,6.3,-42.625,44.217,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:750,WTSensor3(8E7876082DDC),-0.868,-0.137,-0.651,6.897,-33.081,5.615,-14.61,54.96,-52.74,6.3,-42.625,44.217,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:750,WTSensor3(8E7876082DDC),-0.89,-0.015,-0.645,5.188,-31.738,13.428,-14.89,55.22,-53.14,6.3,-42.625,44.217,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:750,WTSensor3(8E7876082DDC),-0.888,0.041,-0.721,0.244,-25.513,14.954,-15.23,55.4,-53.55,6.3,-42.625,44.217,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:750,WTSensor3(8E7876082DDC),-0.798,0.118,-0.724,-0.244,-13.611,24.231,-15.61,55.44,-53.97,6.3,-42.625,44.217,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:788,WTSensor3(8E7876082DDC),-0.725,0.034,-0.737,6.348,-8.362,11.169,-15.68,55.45,-54.14,6.3,-42.625,44.217,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:788,WTSensor3(8E7876082DDC),-0.782,0.372,-0.654,2.014,-11.292,8.606,-15.77,55.5,-54.33,6.3,-42.625,44.217,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:788,WTSensor3(8E7876082DDC),-0.691,0.705,-0.39,15.564,-6.897,6.287,-15.78,55.57,-54.57,6.3,-42.625,44.217,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:788,WTSensor3(8E7876082DDC),-0.689,0.499,-0.478,25.513,-15.137,13.062,-15.79,55.66,-54.83,6.3,-42.625,44.217,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:809,WTSensor3(8E7876082DDC),-0.615,0.606,-0.51,17.334,-15.015,8.667,-15.82,55.74,-55.03,6.3,-42.625,44.217,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:809,WTSensor3(8E7876082DDC),-0.604,0.53,-0.444,8.179,-5.798,7.507,-15.86,55.76,-55.18,6.3,-42.625,44.217,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:809,WTSensor3(8E7876082DDC),-0.695,0.652,-0.362,10.315,9.705,5.981,-15.79,55.65,-55.23,6.3,-42.625,44.217,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:809,WTSensor3(8E7876082DDC),-0.72,0.634,-0.33,5.493,16.602,3.906,-15.71,55.49,-55.2,6.3,-42.625,44.217,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:870,WTSensor3(8E7876082DDC),-0.722,0.645,-0.397,-11.047,19.714,-11.841,-15.56,55.33,-54.93,6.3,-42.625,44.217,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:870,WTSensor3(8E7876082DDC),-0.733,0.627,-0.392,-20.996,18.799,-8.484,-15.55,55.2,-54.65,6.3,-42.625,44.217,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:870,WTSensor3(8E7876082DDC),-0.773,0.5,-0.485,-34.18,15.991,-13.428,-15.62,55.1,-54.29,6.3,-42.625,44.217,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:870,WTSensor3(8E7876082DDC),-0.842,0.354,-0.604,-63.965,6.714,-5.371,-16.08,55.07,-54.1,6.3,-42.625,44.217,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:899,WTSensor3(8E7876082DDC),-0.956,0.436,-0.748,-64.27,4.883,-14.038,-16.53,55.07,-53.89,5.1,-46.533,43.658,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:899,WTSensor3(8E7876082DDC),-0.905,0.266,-0.62,-71.045,0.122,-12.939,-16.96,55.1,-53.69,5.1,-46.533,43.658,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:899,WTSensor3(8E7876082DDC),-0.848,0.246,-0.748,-56.702,-11.841,-10.559,-17.46,55.23,-53.6,5.1,-46.533,43.658,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:899,WTSensor3(8E7876082DDC),-0.855,0.116,-0.73,-48.889,-16.907,-7.935,-17.96,55.42,-53.61,5.1,-46.533,43.658,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:959,WTSensor3(8E7876082DDC),-0.798,-0.095,-0.722,-54.138,-21.729,-4.883,-18.56,55.61,-53.69,5.1,-46.533,43.658,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:959,WTSensor3(8E7876082DDC),-0.76,-0.144,-0.645,-39.368,-13.245,-2.258,-19.01,55.74,-53.77,5.1,-46.533,43.658,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:960,WTSensor3(8E7876082DDC),-0.816,-0.054,-0.602,-18.005,-13.367,0,-19.3,55.88,-53.88,5.1,-46.533,43.658,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:960,WTSensor3(8E7876082DDC),-0.801,-0.277,-0.471,-1.282,-31.982,14.221,-19.65,56.09,-54.29,5.1,-46.533,43.658,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:991,WTSensor3(8E7876082DDC),-0.789,-0.077,-0.529,8.118,-46.997,18.127,-20.1,56.42,-54.93,5.1,-46.533,43.658,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:991,WTSensor3(8E7876082DDC),-0.748,-0.188,-0.456,20.569,-48.95,20.813,-20.5,56.77,-55.66,5.1,-46.533,43.658,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:991,WTSensor3(8E7876082DDC),-0.714,-0.133,-0.494,22.217,-39.307,14.648,-20.75,57.06,-56.22,5.1,-46.533,43.658,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:15:991,WTSensor3(8E7876082DDC),-0.75,-0.126,-0.521,18.066,-24.902,7.629,-20.87,57.25,-56.58,5.1,-46.533,43.658,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:16:19,WTSensor3(8E7876082DDC),-0.791,0.008,-0.58,7.813,-11.047,5.31,-20.96,57.33,-56.78,5.1,-46.533,43.658,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:16:19,WTSensor3(8E7876082DDC),-0.866,0.173,-0.664,-8.362,-1.526,8.118,-21.13,57.32,-56.91,5.1,-46.533,43.658,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:16:19,WTSensor3(8E7876082DDC),-0.947,0.092,-0.719,-14.526,-1.221,26.55,-21.54,57.18,-57.26,5.1,-46.533,43.658,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:16:19,WTSensor3(8E7876082DDC),-0.904,0.273,-0.545,-1.343,14.832,26.001,-21.79,56.94,-57.52,5.1,-46.533,43.658,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:16:87,WTSensor3(8E7876082DDC),-0.796,0.413,-0.461,6.104,5.127,19.043,-21.97,56.79,-57.77,5.1,-46.533,43.658,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:16:87,WTSensor3(8E7876082DDC),-0.715,0.381,-0.477,12.695,-18.127,17.395,-22.22,56.85,-58.14,5.1,-46.533,43.658,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:16:88,WTSensor3(8E7876082DDC),-0.67,0.673,-0.559,-3.967,-28.748,8.118,-22.49,57.03,-58.45,5.1,-46.533,43.658,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:16:88,WTSensor3(8E7876082DDC),-0.654,0.799,-0.498,-11.169,-17.273,6.714,-22.77,57.16,-58.71,5.1,-46.533,43.658,-0.05823,0.82657,-0.31177,-0.46484,30.4,10080.1.13,100
2024-9-19 20:39:16:139,WTSensor3(8E7876082DDC),-0.724,0.583,-0.436,-17.09,0.122,7.751,-23.04,57.13,-58.84,5.1,-46.533,43.658,-0.03445,0.8009,-0.31708,-0.50668,30.4,10080.1.13,100
2024-9-19 20:39:16:139,WTSensor3(8E7876082DDC),-0.806,0.747,-0.32,-13.062,16.541,15.137,-23.26,56.93,-58.94,5.1,-46.533,43.658,-0.03445,0.8009,-0.31708,-0.50668,30.4,10080.1.13,100
2024-9-19 20:39:16:140,WTSensor3(8E7876082DDC),-0.833,0.667,-0.278,-20.203,15.442,15.808,-23.61,56.72,-59.08,5.1,-46.533,43.658,-0.03445,0.8009,-0.31708,-0.50668,30.4,10080.1.13,100
2024-9-19 20:39:16:140,WTSensor3(8E7876082DDC),-0.825,0.658,-0.247,-27.527,13.428,14.038,-24.02,56.52,-59.22,5.1,-46.533,43.658,-0.03445,0.8009,-0.31708,-0.50668,30.4,10080.1.13,100
2024-9-19 20:39:16:140,WTSensor3(8E7876082DDC),-0.746,0.595,-0.222,-36.56,11.658,8.606,-24.39,56.36,-59.22,5.1,-46.533,43.658,-0.03445,0.8009,-0.31708,-0.50668,30.4,10080.1.13,100
2024-9-19 20:39:16:140,WTSensor3(8E7876082DDC),-0.675,0.504,-0.339,-54.321,12.146,-15.442,-24.69,56.33,-58.97,5.1,-46.533,43.658,-0.03445,0.8009,-0.31708,-0.50668,30.4,10080.1.13,100
2024-9-19 20:39:16:140,WTSensor3(8E7876082DDC),-0.744,0.504,-0.403,-66.589,9.216,-16.968,-25.08,56.34,-58.67,5.1,-46.533,43.658,-0.03445,0.8009,-0.31708,-0.50668,30.4,10080.1.13,100
2024-9-19 20:39:16:140,WTSensor3(8E7876082DDC),-0.828,0.381,-0.432,-70.251,5.859,-16.357,-25.52,56.38,-58.39,5.1,-46.533,43.658,-0.03445,0.8009,-0.31708,-0.50668,30.4,10080.1.13,100
2024-9-19 20:39:16:229,WTSensor3(8E7876082DDC),-0.872,0.362,-0.496,-70.374,3.479,-3.296,-26.14,56.38,-58.27,5.1,-46.533,43.658,-0.03445,0.8009,-0.31708,-0.50668,30.4,10080.1.13,100
